idCommune;nomCommune;annee;taux;nbMaison;nbAppart;prixM2Moyen;prixMoyen;surface;depCulturelleTotal;bugdet;population;listeVoisine;listeGare
22306;SAINT-JUDOCE;2021;0.0;14;0;1502.14;149750.0;105.714;-1.0;-1.0;-1;;
22307;SAINT-JULIEN;2018;0.0;13;0;1380.0;138881.0;100.462;-1.0;-1.0;-1;;
22307;SAINT-JULIEN;2019;0.0;23;1;1367.58;145037.0;105.833;-1.0;-1.0;-1;;
22307;SAINT-JULIEN;2020;0.0;17;0;1456.47;141964.0;100.0;-1.0;-1.0;-1;;
22307;SAINT-JULIEN;2021;0.0;21;2;1699.91;167483.0;100.87;-1.0;-1.0;-1;;
22308;SAINT-JUVAT;2018;0.0;6;0;1311.5;138000.0;109.0;-1.0;-1.0;-1;;
22308;SAINT-JUVAT;2019;0.0;9;0;1162.67;132536.0;107.111;-1.0;-1.0;-1;;
22308;SAINT-JUVAT;2020;0.0;9;1;1664.1;168420.0;96.8;-1.0;-1.0;-1;;
22308;SAINT-JUVAT;2021;0.0;15;0;1236.0;131563.0;102.467;-1.0;-1.0;-1;;
22309;SAINT-LAUNEUC;2018;0.0;3;0;1160.33;125243.0;119.667;-1.0;-1.0;-1;;
22309;SAINT-LAUNEUC;2019;0.0;4;0;892.25;64625.0;73.25;-1.0;-1.0;-1;;
22309;SAINT-LAUNEUC;2020;0.0;2;0;784.5;197500.0;197.5;-1.0;-1.0;-1;;
22309;SAINT-LAUNEUC;2021;0.0;2;0;1218.5;143000.0;134.0;-1.0;-1.0;-1;;
22310;SAINT-LAURENT;2018;0.0;4;0;1422.5;130750.0;91.25;-1.0;-1.0;-1;;
22310;SAINT-LAURENT;2019;0.0;9;0;1070.56;102966.0;96.5556;-1.0;-1.0;-1;;
22310;SAINT-LAURENT;2020;0.0;4;0;1333.75;120250.0;87.75;-1.0;-1.0;-1;;
